location_name,osm_id,osm_id_source,maxheight,maxheight_physical,hgv,tags,history_url,history_status,history_maxheight_occurrences
Silk Board Junction,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Hebbal Flyover Underpass,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Bellandur Kodi Junction,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Varthur Kodi Junction,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
KR Puram Lake Road,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Yeshwanthpur Railway station,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Old Airport Road Railway Crossing,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Railway underbridge near Kino theatre,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Shivananda circle_Railway under pass,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Cauvery Junction,,none_registerless_GT_BBMP,,,,{},,skipped_no_maxheight,
Dr. Rajkumar Underpass,1105681422,register,,,,"{""highway"": ""tertiary"", ""layer"": ""-1"", ""motorcar"": ""no"", ""name"": ""Dr. Rajkumar Underpass"", ""name:etymology:wikidata"": ""Q984634"", ""oneway"": ""yes"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/1105681422/history,skipped_no_tag,
Shivajinagar Bus Station Subway,1066902625,register,,,,"{""highway"": ""footway"", ""layer"": ""-1"", ""name"": ""Shivajinagar Bus Station Subway"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/1066902625/history,skipped_no_tag,
Horamavu Underpass,675387095,register,,,,"{""cutting"": ""yes"", ""highway"": ""secondary"", ""lanes"": ""2"", ""layer"": ""-1"", ""name"": ""Horamavu Underpass"", ""oneway"": ""yes"", ""surface"": ""concrete""}",https://www.openstreetmap.org/api/0.6/way/675387095/history,skipped_no_tag,
Annapoorneshwari Main Road Junction Underpass,1464069266,register,,,,"{""construction"": ""primary"", ""highway"": ""construction"", ""junction"": ""yes"", ""lanes"": ""4"", ""layer"": ""-1"", ""name"": ""Annapoorneshwari Main Road Junction Underpass"", ""note"": ""Planned completion in March 2026: https://www.deccanherald.com/india/karnataka/bengaluru/gba-aims-to-complete-works-on-10-flyovers-underpasses-in-bengaluru-in-2026-3849969"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/1464069266/history,skipped_no_tag,
NIMHANS Underpass,239738418,register,10',,,"{""access"": ""private"", ""highway"": ""service"", ""layer"": ""-1"", ""maxheight"": ""10'"", ""maxspeed"": ""20"", ""name"": ""NIMHANS Underpass"", ""oneway"": ""alternating"", ""surface"": ""concrete"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/239738418/history,ok_200,3
Star Circle Underpass,95664214,register,,,,"{""alt_name"": ""Chord Road"", ""highway"": ""primary"", ""lanes"": ""2"", ""layer"": ""-1"", ""name"": ""Star Circle Underpass"", ""name:kn"": ""\u0c95\u0cbe\u0cb0\u0ccd\u0ca1\u0ccd \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6"", ""oneway"": ""yes"", ""surface"": ""asphalt"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/95664214/history,skipped_no_tag,
Madiwala Underpass,148210028,register,,,,"{""alt_name"": ""Hosur Road"", ""foot"": ""no"", ""highway"": ""primary"", ""int_ref"": ""AH43"", ""lanes"": ""2"", ""layer"": ""-1"", ""lit"": ""yes"", ""maxspeed"": ""60"", ""motorroad"": ""no"", ""name"": ""Madiwala Underpass"", ""name:etymology:wikidata"": ""Q6728242"", ""name:kn"": ""\u0cb9\u0cca\u0cb8\u0cc2\u0cb0\u0cc1 \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6"", ""oneway"": ""yes"", ""sidewalk"": ""no"", ""smoothness"": ""good"", ""surface"": ""concrete""}",https://www.openstreetmap.org/api/0.6/way/148210028/history,skipped_no_tag,
Sankey Road Underpass,1039668762,register,,,,"{""alt_name"": ""Sankey Road Magic Box"", ""highway"": ""tertiary"", ""lanes"": ""1"", ""layer"": ""-1"", ""name"": ""Sankey Road Underpass"", ""oneway"": ""yes"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/1039668762/history,skipped_no_tag,
Ullal Junction Underpass,1547666061,register,,,,"{""highway"": ""primary_link"", ""lanes"": ""4"", ""layer"": ""-1"", ""name"": ""Ullal Junction Underpass"", ""note"": ""Planned completion in February 2026: https://www.deccanherald.com/india/karnataka/bengaluru/gba-aims-to-complete-works-on-10-flyovers-underpasses-in-bengaluru-in-2026-3849969"", ""oneway"": ""yes"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/1547666061/history,skipped_no_tag,
Kuvempu Underpass,379763901,register,,,,"{""alt_name"": ""Outer Ring Road"", ""dual_carriageway"": ""yes"", ""highway"": ""trunk"", ""lanes"": ""3"", ""layer"": ""-1"", ""lit"": ""yes"", ""maxspeed"": ""60"", ""name"": ""Kuvempu Underpass"", ""name:etymology:wikidata"": ""Q3351108"", ""name:kn"": ""\u0cb9\u0cca\u0cb0 \u0cb5\u0cb0\u0ccd\u0ca4\u0cc1\u0cb2 \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6"", ""old_name"": ""Hassan - Vellore Highway"", ""oneway"": ""yes"", ""ref"": ""NH75"", ""short_name"": ""ORR"", ""sidewalk"": ""no"", ""surface"": ""concrete""}",https://www.openstreetmap.org/api/0.6/way/379763901/history,skipped_no_tag,
Nagarabhavi Underpass,90842812,register,,,,"{""alt_name"": ""Outer Ring Road"", ""highway"": ""trunk"", ""lanes"": ""3"", ""layer"": ""-1"", ""loc_name"": ""Outer Ring Road"", ""name"": ""Nagarabhavi Underpass"", ""name:kn"": ""\u0cb9\u0cca\u0cb0 \u0cb5\u0cb0\u0ccd\u0ca4\u0cc1\u0cb2 \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6"", ""oneway"": ""yes"", ""short_name"": ""ORR"", ""smoothness"": ""good"", ""surface"": ""concrete"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/90842812/history,skipped_no_tag,
Kasturinagar Road Under Bridge,1459067497,register,,,,"{""access"": ""yes"", ""bicycle"": ""yes"", ""check_date"": ""2025-12-14"", ""foot"": ""no"", ""highway"": ""tertiary"", ""layer"": ""-1"", ""maxspeed"": ""10"", ""motor_vehicle"": ""yes"", ""name"": ""Kasturinagar Road Under Bridge"", ""oneway"": ""yes"", ""opening_date"": ""2025-09-15"", ""surface"": ""concrete"", ""tunnel"": ""yes"", ""width"": ""4.5""}",https://www.openstreetmap.org/api/0.6/way/1459067497/history,skipped_no_tag,
Dairy Circle Underpass,191190625,register,,,,"{""alt_name"": ""Bannerghatta Road"", ""dual_carriageway"": ""yes"", ""highway"": ""secondary"", ""lanes"": ""2"", ""layer"": ""-1"", ""name"": ""Dairy Circle Underpass"", ""name:kn"": ""\u0cac\u0ca8\u0ccd\u0ca8\u0cc7\u0cb0\u0cc1\u0c98\u0c9f\u0ccd\u0c9f \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6"", ""oneway"": ""yes"", ""smoothness"": ""intermediate"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/191190625/history,skipped_no_tag,
Suranjandas Road Underpass,1135874172,register,4.5,,,"{""alt_name"": ""Old Airport Road"", ""alt_name:en"": ""HAL Old Airport Road"", ""highway"": ""primary"", ""lanes"": ""2"", ""layer"": ""-1"", ""lit"": ""yes"", ""loc_name"": ""HAL Old Airport Road"", ""maxheight"": ""4.5"", ""maxspeed"": ""40"", ""name"": ""Suranjandas Road Underpass"", ""name:kn"": ""\u0cb8\u0cc1\u0cb0\u0c82\u0c9c\u0ca8\u0ccd\u200c\u0ca6\u0cbe\u0cb8\u0ccd \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6 \u0c85\u0c82\u0ca1\u0cb0\u0ccd\u200c\u0caa\u0cbe\u0cb8\u0ccd"", ""oneway"": ""yes"", ""smoothness"": ""good"", ""source:maxspeed"": ""sign"", ""surfa",https://www.openstreetmap.org/api/0.6/way/1135874172/history,ok_200,6
Kaderanahali Underpass,249195015,register,,,,"{""alt_name"": ""Outer Ring Road"", ""dual_carriageway"": ""yes"", ""highway"": ""trunk"", ""lanes"": ""2"", ""layer"": ""-1"", ""maxspeed"": ""50"", ""name"": ""Kaderanahali Underpass"", ""name:kn"": ""\u0c95\u0ca6\u0cbf\u0cb0\u0cc7\u0ca8\u0cb9\u0cb3\u0ccd\u0cb3\u0cbf \u0c85\u0c82\u0ca1\u0cb0\u0ccd \u0caa\u0cbe\u0cb8\u0ccd"", ""official_name"": ""Dr. Puneeth Rajkumar Ring Road"", ""official_name:etymology:wikidata"": ""Q3351697"", ""official_name:kn"": ""\u0ca6\u0ccd\u0cb0\u0ccd. \u0caa\u0cc1\u0ca8\u0cc0\u0ca4\u0ccd \u0cb0\u0cbe\u0c9c\u",https://www.openstreetmap.org/api/0.6/way/249195015/history,skipped_no_tag,
Jayadeva Hospital Underpass,40692577,register,,,,"{""alt_name"": ""Bannerghatta Road"", ""highway"": ""primary"", ""lanes"": ""2"", ""layer"": ""-1"", ""name"": ""Jayadeva Hospital Underpass"", ""name:kn"": ""\u0cac\u0ca8\u0ccd\u0ca8\u0cc7\u0cb0\u0cc1\u0c98\u0c9f\u0ccd\u0c9f \u0cb0\u0cb8\u0ccd\u0ca4\u0cc6"", ""oneway"": ""yes"", ""smoothness"": ""intermediate"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/40692577/history,skipped_no_tag,
Sankey Underpass,163101103,register,4.25,,,"{""alt_name"": ""Sankey Road"", ""cutting"": ""yes"", ""highway"": ""secondary"", ""lanes"": ""1"", ""layer"": ""-1"", ""loc_name"": ""Sankey Tank Road"", ""maxheight"": ""4.25"", ""name"": ""Sankey Underpass"", ""name:etymology:wikidata"": ""Q7331115"", ""name:kn"": ""\u0cb8\u0ccd\u0caf\u0cbe\u0c82\u0c95\u0cbf \u0c85\u0c82\u0ca1\u0cb0\u0ccd \u0caa\u0cbe\u0cb8\u0ccd"", ""official_name"": ""Sankey Main Road"", ""oneway"": ""yes"", ""smoothness"": ""good"", ""tunnel"": ""yes""}",https://www.openstreetmap.org/api/0.6/way/163101103/history,ok_200,2
CNR Rao Underpass,142241251,register,,,,"{""alt_name"": ""Dr. C V Raman Road"", ""highway"": ""trunk"", ""lanes"": ""2"", ""layer"": ""-1"", ""lit"": ""yes"", ""maxspeed"": ""60"", ""name"": ""CNR Rao Underpass"", ""name:etymology:wikidata"": ""Q1248892"", ""name:kn"": ""\u0cb8\u0cbf \u0c8e\u0ca8\u0ccd \u0cb0\u0cbe\u0cb5\u0ccd \u0c95\u0cc6\u0cb3\u0cb8\u0cc7\u0ca4\u0cc1\u0cb5\u0cc6"", ""official_name"": ""Dr. CV Raman Road"", ""oneway"": ""yes"", ""sidewalk"": ""no"", ""surface"": ""asphalt""}",https://www.openstreetmap.org/api/0.6/way/142241251/history,skipped_no_tag,
