id,n_cells,area_m2,max_depth_m,p95_depth_m,mean_depth_m,volume_m3,fill_ratio,floor_sigma_z_m,rim_sigma_z_m,centroid_lat,centroid_lon
73465,1365,136500.0,2.8156738,1.5777954,0.80232525,109517.4,0.28494966,0.0014475264,0.13016877,12.949792583858102,77.45960032646774
46567,463,46300.0,4.5356445,4.5356445,2.2341514,103441.21,0.4925764,0.05445937,0.15060054,13.002307200193943,77.58620906369286
18280,2730,273000.0,1.845459,0.34545898,0.37522984,102437.74,0.20332602,0.05005959,0.07293925,13.062624549778757,77.61394536719033
5328,252,25200.0,8.343567,6.8608427,3.7165523,93657.12,0.44543925,0.17147827,0.13949813,13.11532240448207,77.65159304137997
71544,9928,992800.0,1.5422974,0.08270264,0.08716927,86541.65,0.056519102,0.1724377,0.019856798,12.947776809789296,77.73812101651453
58673,525,52500.0,2.718933,2.6592407,1.4209144,74598.01,0.5226,0.08471899,0.14860861,12.978970076564705,77.65650290056287
39292,1016,101600.0,1.9814453,1.9814453,0.71479344,72623.016,0.36074346,0.13456096,0.10481546,13.014109562471651,77.78674940868724
107027,128,12800.0,9.662476,9.397385,5.5860505,71501.445,0.5781179,0.12877238,0.11418931,12.856412762110676,77.63076660014511
88775,821,82100.0,2.3775024,2.3775024,0.87065476,71480.76,0.36620563,0.098379806,0.12974237,12.913516564182594,77.67340039356414
16712,1487,148700.0,2.5593262,1.6395996,0.446663,66418.79,0.17452367,0.12199874,0.12014576,13.065345464210639,77.72372427563576
6440,158,15800.0,8.211609,7.850122,4.1842265,66110.78,0.50955015,0.15412708,0.14624871,13.108997276651893,77.65503343875088
6730,127,12700.0,11.738831,11.027594,5.1710176,65671.92,0.44050536,0.13541853,0.15006678,13.107415989389086,77.64893477066713
6561,266,26600.0,5.219116,4.578583,2.44899,65143.14,0.46923468,0.15795752,0.16675177,13.107679808084676,77.65362042250754
64389,2333,233300.0,0.45758057,0.43464357,0.2682526,62583.336,0.5862413,0.13019727,0.13019727,12.96554969703051,77.78665782851745
56518,386,38600.0,3.4682007,3.4682007,1.5958838,61601.117,0.4601475,0.10319624,0.13844477,12.983084644770532,77.63596302406187
81698,538,53800.0,2.0285034,1.9312042,1.1447264,61586.28,0.5643207,0.1289419,0.1446666,12.930290082907602,77.77204425705668
10777,676,67600.0,1.5405273,1.4801941,0.90002245,60841.516,0.58423007,0.14315549,0.14141047,13.08956662416748,77.7166303610201
12579,640,64000.0,2.78302,1.7779725,0.92931163,59475.945,0.333922,0.1637288,0.1372125,13.082445960273704,77.5074079386151
111666,199,19900.0,8.761536,7.1217527,2.7986827,55693.785,0.31942832,0.17590332,0.15533055,12.835459614379806,77.55994186081968
6265,114,11400.0,9.876404,9.445511,4.732147,53946.477,0.47913668,0.17783287,0.09956306,13.110062309410441,77.65134952998
101209,909,90900.0,1.9771729,1.2108399,0.59056664,53682.508,0.29869246,0.15618172,0.1454961,12.87906982461271,77.4743123926187
64209,227,22700.0,2.9872437,2.9523742,2.360644,53586.62,0.7902416,0.12194461,0.16414508,12.96966175721909,77.59348881115801
12351,124,12400.0,9.411865,9.048129,4.0602202,50346.727,0.43139377,0.15905005,0.14490677,13.08379299277322,77.72406452681356
109500,1009,100900.0,1.263916,0.9119995,0.48494864,48931.316,0.38368738,0.107767895,0.15068533,12.842895552420126,77.76234326434543
30634,951,95100.0,0.81500244,0.81500244,0.51185614,48677.52,0.62804246,0.14319155,0.14773774,13.032075982648577,77.72667162401486
11088,445,44500.0,2.9754639,2.3124268,1.0910164,48550.23,0.36667103,0.14794983,0.14605875,13.089459825665513,77.6250011131721
111828,162,16200.0,5.387146,5.2566404,2.9700196,48114.32,0.551316,0.13426681,0.15572034,12.834062359921491,77.61264878197855
109117,218,21800.0,2.5931396,2.5931396,2.1147497,46101.543,0.81551707,0.06448656,0.16877979,12.846044445947664,77.67417656239446
10522,514,51400.0,2.0735474,1.8736786,0.88981646,45736.566,0.42912763,0.13075556,0.13314767,13.092154095901277,77.51136447487967
87813,648,64800.0,2.4347534,2.0360076,0.6985134,45263.664,0.28689286,0.11980777,0.15124863,12.917745428158259,77.46137924532195
78677,404,40400.0,3.3935547,2.5058472,1.0907136,44064.832,0.3214074,0.16588004,0.15176289,12.940298018974287,77.45689658549479
71344,1290,129000.0,3.916748,0.9214417,0.3388187,43707.61,0.0865051,0.0,0.13318418,12.953624344349784,77.64363586304577
8027,479,47900.0,3.06604,2.1224732,0.885438,42412.48,0.2887888,0.14372772,0.13627985,13.102189216489453,77.55667590683679
844,2474,247400.0,1.1318359,0.41491395,0.16864146,41721.9,0.14899816,0.13629037,0.10617775,13.13955402684441,77.48681666701404
81429,293,29300.0,1.8010864,1.8010864,1.412377,41382.65,0.78418064,0.0756122,0.13576885,12.933632612489445,77.57645753985032
6479,1527,152700.0,0.7789917,0.62756956,0.27096796,41376.805,0.34784445,0.12932688,0.11771784,13.10841814933474,77.47716292839883
5719,113,11300.0,6.874817,6.5505495,3.6438637,41175.66,0.53003067,0.1579762,0.15092163,13.113470825286155,77.6493025927616
107617,137,13700.0,8.435913,8.083338,2.9767036,40780.84,0.35286087,0.13497557,0.15163375,12.853056452963234,77.6243451008987
29755,384,38400.0,3.4920044,3.461551,1.0508814,40353.844,0.3009393,0.13963735,0.13028395,13.035517738766357,77.5512158863159
110867,385,38500.0,3.8596802,2.3093872,1.0233548,39399.156,0.26513976,0.058926806,0.15639758,12.837113210739194,77.73881637297065
85158,427,42700.0,1.5067139,1.4724243,0.91493255,39067.62,0.6072371,0.14744571,0.1439349,12.925507419046252,77.4569398802487
106692,101,10100.0,9.046387,8.474731,3.863729,39023.664,0.4271019,0.13342954,0.16312681,12.857912949943064,77.62698546024623
29742,427,42700.0,1.8157959,1.6471924,0.90594023,38683.65,0.49892184,0.12724859,0.14281514,13.034584198327808,77.70991297823196
77217,324,32400.0,3.4332886,2.8881714,1.1765816,38121.246,0.34269816,0.15728037,0.14362767,12.943374904303699,77.45902812019735
90401,791,79100.0,2.0749512,1.7097168,0.4701424,37188.26,0.22657996,0.10387929,0.1408942,12.909781241649373,77.66907693038867
52213,289,28900.0,2.1744385,2.1744385,1.2270421,35461.516,0.5643029,0.12214135,0.14635682,12.990873960582787,77.63739165284362
88705,938,93800.0,1.1889038,0.9510864,0.373749,35057.652,0.31436434,0.13932632,0.13673183,12.913631017891499,77.71949993682578
527,316,31600.0,2.9591675,2.746704,1.0884377,34394.63,0.36781886,0.13761602,0.12508252,13.140473297423913,77.77866404315289
111595,145,14500.0,6.4676514,5.517334,2.3558004,34159.105,0.36424357,0.15747148,0.13354306,12.835149229344779,77.61972813402417
35596,398,39800.0,1.753418,1.5763153,0.85680354,34100.78,0.48864767,0.13110438,0.15390995,13.022447766596871,77.75608855135513
4578,97,9700.0,7.9363403,7.3896728,3.49255,33877.734,0.4400706,0.09870067,0.15097845,13.119499314839176,77.65794054738835
99636,98,9800.0,5.3914185,5.3914185,3.3665535,32992.223,0.6244281,0.0819828,0.14254235,12.884062045042452,77.65632853018268
104974,120,12000.0,5.904175,5.477698,2.7440927,32929.113,0.46477163,0.16203037,0.11542056,12.865116194588731,77.60714273640795
14149,487,48700.0,1.1932983,1.0957825,0.67196584,32724.738,0.56311643,0.13060005,0.14851367,13.078980847881555,77.47244394399655
24027,540,54000.0,1.3530273,1.2721008,0.58278626,31470.459,0.43072763,0.17013331,0.14554493,13.047583267420801,77.6624560158916
3616,406,40600.0,1.3036499,1.1797028,0.7701434,31267.822,0.59075934,0.1120848,0.14425416,13.123680453673263,77.65143289463042
94138,807,80700.0,1.614502,1.5309753,0.38734415,31258.674,0.23991558,0.17448811,0.041593455,12.89925757993119,77.57942179946274
99151,183,18300.0,4.201233,3.6461914,1.6973243,31061.035,0.40400624,0.16212803,0.14783914,12.886184394605603,77.55333862094575
102575,253,25300.0,1.5478516,1.5478516,1.2063719,30521.209,0.77938473,0.094710656,0.1493373,12.874174933573954,77.57960179273023
5474,266,26600.0,3.1815186,2.5383453,1.1399732,30323.285,0.35831103,0.10684702,0.13083059,13.114709920232325,77.62866099315212
10809,213,21300.0,4.4229126,3.7090821,1.4205142,30256.951,0.32117164,0.12748426,0.15759704,13.091238886893018,77.55535137519945
106930,107,10700.0,7.328186,6.1740966,2.8083975,30049.854,0.38323227,0.14913405,0.13031247,12.856973544476192,77.62923160267223
107283,85,8500.0,10.577759,8.926257,3.4876006,29644.605,0.32971072,0.16986205,0.13113931,12.854951152827446,77.62930753697783
80463,649,64900.0,1.0235596,0.9139404,0.4555967,29568.225,0.44511008,0.1259075,0.14921807,12.933960038199045,77.6788645616468
793,394,39400.0,1.3387451,1.3387451,0.74137175,29210.047,0.5537811,0.14182465,0.12674797,13.140431158050074,77.61611352503424
110447,108,10800.0,6.6973267,5.995703,2.6902573,29054.78,0.40169123,0.17014958,0.16666868,12.840982424562668,77.62509802772671
1876,334,33400.0,1.4744263,1.3820465,0.8539847,28523.09,0.579198,0.14075369,0.14969827,13.13460734006057,77.53687870493879
447,427,42700.0,1.5385742,1.5126526,0.6631627,28317.047,0.4310242,0.15322162,0.12683365,13.139491514438374,77.71269907169811
10218,327,32700.0,1.5958862,1.5958862,0.8569881,28023.512,0.5369983,0.1611739,0.14670473,13.09270824094841,77.62884636932237
106898,117,11700.0,4.4402466,4.0544677,2.366124,27683.648,0.53288114,0.16828293,0.12740354,12.85760610428774,77.56467155281375
24428,327,32700.0,1.4124146,1.3845154,0.8329331,27236.914,0.5897229,0.15623423,0.12937072,13.047376475074874,77.70894136800544
539,675,67500.0,1.6160889,1.510083,0.38715044,26132.654,0.23956011,0.120231435,0.08050958,13.138900971569006,77.69038151360303
31529,179,17900.0,3.7601318,2.5265503,1.3723161,24564.459,0.3649649,0.1434021,0.07606491,13.032776815910422,77.54810391906656
23847,530,53000.0,0.93481445,0.8856537,0.4546161,24094.652,0.48631695,0.13922748,0.13817908,13.052302488167793,77.48396286284739
6689,109,10900.0,4.364258,4.0430055,2.1594853,23538.39,0.4948116,0.16051078,0.15740617,13.107392614477357,77.65722057500263
705,506,50600.0,2.2451782,1.4606476,0.46420193,23488.617,0.20675504,0.13505739,0.14389792,13.141222251972616,77.59065838981385
10239,214,21400.0,1.1211548,1.1211548,1.0630639,22749.566,0.9481865,0.041467,0.118592694,13.08736580392601,77.61058356500597
102558,529,52900.0,1.338623,0.979895,0.4259137,22530.836,0.31817302,0.13062178,0.13802001,12.871648269201396,77.77726318458735
4140,274,27400.0,2.191162,1.7845123,0.81714714,22389.832,0.37292865,0.12341182,0.14280117,13.119328742531945,77.7768934357337
109330,584,58400.0,1.2393188,0.9225189,0.37963971,22170.959,0.30632934,0.11444678,0.14531389,12.843798887743644,77.73902008107594
6647,238,23800.0,1.8278809,1.6903381,0.92889124,22107.611,0.5081793,0.1541442,0.1386872,13.108916738588052,77.50685948819283
51911,769,76900.0,1.6127319,0.68670654,0.28138041,21638.152,0.17447437,0.13830496,0.13535248,12.99132729397169,77.62165612429885
32395,275,27500.0,0.8105469,0.8105469,0.778758,21415.844,0.9607809,0.053612415,0.15143016,13.023181274991575,77.72906401329955
35122,1737,173700.0,0.27941895,0.25657958,0.12108268,21032.062,0.43333742,0.07355038,0.07355038,13.02060240869225,77.7785920389556
49811,205,20500.0,2.524353,1.9870605,1.0213697,20938.08,0.40460655,0.14821205,0.15079418,12.994965279777496,77.70833306480002
4311,777,77700.0,0.602478,0.5310669,0.2681957,20838.807,0.44515434,0.1350384,0.14296494,13.119112603942675,77.68285725194235
81301,162,16200.0,3.0089111,2.7596862,1.2757373,20666.943,0.42398635,0.14998527,0.14221203,12.932547059565687,77.71716745889893
97432,101,10100.0,3.8809204,2.6760864,2.0396476,20600.44,0.52555764,0.0,0.18382339,12.890747604659929,77.66436645605093
6178,554,55400.0,1.6029053,1.4313691,0.36814523,20395.246,0.22967373,0.11675092,0.07693712,13.11055902239736,77.57066700267532
108364,591,59100.0,2.02417,1.3938904,0.3375615,19949.885,0.16676539,0.13488488,0.14169055,12.847720343350918,77.70600564792615
8154,542,54200.0,1.7945557,1.7560151,0.35260382,19111.127,0.19648531,0.14479706,0.08991378,13.099527720313342,77.65179067560877
98251,296,29600.0,0.8022461,0.8022461,0.6456175,19110.277,0.80476236,0.12291361,0.15487315,12.8882225263349,77.57505641296696
73836,275,27500.0,2.5473022,1.8266846,0.6842212,18816.082,0.2686062,0.18150245,0.15240481,12.950756357326307,77.64858916616684
106187,332,33200.0,2.128479,1.7676758,0.5656707,18780.268,0.2657629,0.14066574,0.1354001,12.860085608351008,77.52596927330279
11685,1656,165600.0,0.27557373,0.23683167,0.111806124,18515.094,0.40572128,0.067270026,0.067270026,13.084219054405592,77.78457280892796
54378,195,19500.0,1.7533569,1.7042481,0.9271794,18079.998,0.5288024,0.1553481,0.13995934,12.98734869012876,77.63766710436698
102456,243,24300.0,1.5637817,1.3738037,0.7429257,18053.094,0.47508273,0.13618115,0.14316553,12.87549507900872,77.47552005234253
106954,617,61700.0,0.8607788,0.74538577,0.2892087,17844.178,0.33598495,0.14743683,0.12119594,12.855329176926313,77.69650211197846
59351,149,14900.0,2.4847412,2.013208,1.1494021,17126.092,0.46258423,0.15909483,0.14657222,12.978842768527812,77.59956522451883
69121,432,43200.0,0.79278564,0.6462738,0.38915196,16811.365,0.49086657,0.09708377,0.15367712,12.959488784880175,77.62913683134886
89693,232,23200.0,2.0794678,1.757425,0.7162247,16616.412,0.3444269,0.14351836,0.14573003,12.911296240817551,77.78764631855482
105540,235,23500.0,1.6289062,1.426178,0.70562667,16582.227,0.43319046,0.12901086,0.14470911,12.863726331149818,77.48315604160223
9017,412,41200.0,0.66674805,0.65142214,0.40242463,16579.895,0.60356325,0.13506839,0.14296235,13.098999941655512,77.49390672300281
13893,213,21300.0,1.4111938,1.3782959,0.7781885,16575.414,0.55143976,0.1416759,0.15062588,13.074128337632105,77.61232237066145
32353,152,15200.0,2.7472534,2.5182617,1.0711999,16282.238,0.3899167,0.16578914,0.15217951,13.028506049382907,77.77425449430005
21685,644,64400.0,0.6203003,0.5563507,0.2438834,15706.092,0.3931699,0.13490646,0.13443698,13.054547533521662,77.78555952478254
25612,625,62500.0,1.4564209,1.0610473,0.24893174,15558.233,0.1709202,0.15393624,0.089894675,13.044171296849935,77.59499610217314
17863,218,21800.0,1.1184082,1.0369995,0.71273917,15537.714,0.63728,0.105276644,0.14985985,13.0609036089944,77.67823424074975
90255,514,51400.0,0.66900635,0.5345062,0.29844114,15339.874,0.44609612,0.1104066,0.13786915,12.909819360108404,77.78006979384408
57883,86,8600.0,4.564636,3.97081,1.7549239,15092.346,0.38446087,0.16450387,0.17038608,12.982805118146342,77.49169797543222
19288,634,63400.0,1.6109619,1.4845307,0.23592032,14957.349,0.14644687,0.13517483,0.044908702,13.063076907085666,77.5641331444516
